,Train MAE,Train MSE,Val MAE,Val MSE
0,4.790199545747865,24.882829028613774,4.307747780000228,20.349185680450006
1,4.177769359916398,19.31045712126183,3.6916759868341544,15.408950314495726
2,3.568304230037856,14.610294072404521,3.0730350221527027,11.213438948326493
3,2.939627409536289,10.533575619634004,2.4337476558304827,7.671151455812923
4,2.3164893908319533,7.184705352821091,1.8558539012763633,4.989103639916284
5,1.7356231287889008,4.718005639926081,1.4064818046108676,3.1829408768449423
6,1.333395720294475,3.11664239405488,1.1279820174640742,2.2445346027384723
7,1.1640643117835372,2.355864985415816,1.0389128204869422,1.8378827067266632
8,1.102671695271466,1.9842702943769304,1.058791188093753,1.7457035343327023
9,1.0972706361045834,1.8534046063217762,1.100414710633761,1.7477353064956955
10,1.1131946351502608,1.8105039045078304,1.133132767658169,1.7859999371056852
11,1.1333176403984937,1.8252550346125709,1.1706282542249395,1.8536214381238423
12,1.1446787619070857,1.8290828103084849,1.180109320148457,1.872889824669809
13,1.1656474002895671,1.8706998032525024,1.2202683754259618,1.9675215645321777
14,1.178677088568839,1.8957341726301091,1.2381898405194012,2.0142992800204254
15,1.203773980120386,1.9567027326588808,1.2565577465696498,2.0667654367541286
16,1.2029049975842567,1.9508742137227737,1.262631022049053,2.0850333949353743
17,1.2109669161252794,1.976884211321272,1.2731402182437885,2.117853774116914
18,1.2167374894612846,1.9973517943030663,1.2821477415203777,2.1471784473927085
19,1.2234377266264242,2.0185093724849534,1.2843727677377517,2.154617932969759
20,1.2237848435820566,2.0109458974068577,1.2848874484267832,2.156343641427488
21,1.225055706476377,2.010639708667672,1.2855955949555473,2.158720673872844
22,1.2210479704038948,2.0114956845733967,1.286809258230139,2.16281751023547
23,1.2285047921319396,2.015783486984245,1.2878402668638391,2.1663090485191243
24,1.22627171122424,2.017855565985582,1.2897602386766942,2.1728701813925073
25,1.2287744347955978,2.027388275730889,1.2886972819533944,2.1692128988076504
26,1.227253166773428,2.0220845614442227,1.2897957933891633,2.172967386597094
27,1.2253259093097606,2.022767604281704,1.291688047958477,2.179473791022288
28,1.2246167385003757,2.018369742392269,1.2925826204765656,2.182562672553161
