,Train MAE,Train MSE,Val MAE,Val MSE
0,5.17122709862866,28.590711658286125,5.013692322082881,26.978390247501302
1,5.099990349631612,27.855589717135672,4.930360186862297,26.14400430470085
2,4.996322338646243,26.798558042189935,4.787228024919352,24.746078187534664
3,4.796638745991477,24.810125871422056,4.4946186496792055,22.023928657867874
4,4.376059536652092,20.981514186767573,3.865985932952639,16.798259634513798
5,3.479536361073601,14.21639683860706,2.559721709461596,8.530543445445767
6,1.9235694845121931,5.413630018088411,1.4113183552962982,3.2351532862198495
7,1.6354161729445338,4.392743169506337,1.850219593136369,5.225852688040564
8,1.4862001363081627,3.481162087177946,1.5496033015677493,3.704781300941241
9,1.4796116491117228,3.5165370521575907,1.6887061137105672,4.368365799869064
10,1.5050114929548337,3.629516062438911,1.6669292482555373,4.250783008322102
11,1.4809490965680498,3.5292832706744983,1.5985318215216013,3.8899484137241926
12,1.4484687910771779,3.3322645250347063,1.6349922902561214,4.061891414924579
13,1.4668653001648182,3.4206308847850373,1.6396708471406658,4.078790340752096
14,1.5007090620008205,3.576084137490679,1.6531920554200406,4.145032868553612
15,1.4364585684391533,3.2940531729138827,1.592397401320203,3.8313873204968503
16,1.5098348659541998,3.6515634256478244,1.6908756667618932,4.320581784608061
17,1.4590697643662185,3.373658821729551,1.550295935182773,3.633110665924409
18,1.4602711771393257,3.3592283789746404,1.6373756156670471,4.032945363600371
19,1.4826413726326753,3.5064332822959616,1.6176686269868572,3.921973850689747
20,1.4908941339735409,3.541013667569924,1.605691925360978,3.858789346136164
21,1.4237552413562875,3.1525487572790274,1.566298451998401,3.6733073055362553
22,1.4752529901426457,3.4367444421119147,1.6403408502229513,4.024203887418304
23,1.4452778065424225,3.2701562604829957,1.5853045695288919,3.7482210724875804
24,1.4444727575024352,3.276939296807777,1.6188853322814802,3.905599092017902
25,1.479805450138527,3.4568441473438347,1.602191802406098,3.8173718474626352
26,1.408181934936897,3.1056022912852543,1.5759906924508218,3.691396555914172
27,1.4356953170749287,3.2191216456874434,1.582085967085805,3.7136867852299007
28,1.4200665327100137,3.1714905044066772,1.5889770034649695,3.7414947018151805
29,1.442952420759265,3.261154287392466,1.5853875841138616,3.721104213105944
30,1.4217567733071181,3.134365994607601,1.5516317046425943,3.5694850607185797
31,1.472031032605839,3.4014812538226042,1.6702931774165086,4.120216956589276
32,1.4431476710474016,3.2673395573673014,1.5465185970718907,3.5373707633533313
33,1.5291923328672943,3.6433926687370453,1.700832600593369,4.262088773675252
34,1.4550555304259183,3.262739021999526,1.5753874312495437,3.6499903725554472
35,1.4438645989105738,3.2418983073980354,1.599411171437479,3.755867544592027
36,1.4482445805673798,3.2565908461983666,1.565891136315727,3.601494713168041
37,1.3960571489214355,3.0001564410830435,1.5458105388114016,3.5135388783112784
38,1.419851118420036,3.149362849506734,1.5906901066073071,3.7032059661869354
39,1.4773605469703104,3.397605079307676,1.5809332270772158,3.655945471204611
40,1.386618118025129,2.963232725195544,1.532340258813728,3.4477102650464047
41,1.415982261265688,3.1201871940774484,1.5813143512696057,3.649330108718615
42,1.4189187180387095,3.14594787132411,1.5862746359864468,3.667112260251561
43,1.4402703173973264,3.246961968229941,1.5932677900352108,3.697823018390054
44,1.3950828667859014,3.026140779462893,1.5286418752612874,3.4230891742753773
45,1.3990668334942404,3.0282623317558377,1.5364311864629634,3.4489565855520747
46,1.3963072302003499,3.0099979156719474,1.5639079532980518,3.5576092008985514
47,1.4272427825185354,3.1363026278280146,1.6078137766530316,3.7485434621015434
48,1.43383986773824,3.172393925751141,1.586248757432486,3.649712243932244
49,1.4352761143347073,3.182305360776637,1.5596982310002727,3.529666085401823
50,1.4214370510180208,3.1050433695143163,1.5620280435338862,3.5362652422889536
51,1.3836031299928164,2.9723022126615146,1.5386592426380847,3.4359300261835943
52,1.4028234404357818,3.0510376030665576,1.5599500770373218,3.5189006788603976
53,1.400048448926064,3.021658620704518,1.5854339498447103,3.623919011268463
54,1.3967148412413994,3.0075132786223704,1.5425337069495462,3.43985393710068
55,1.3835654753021782,2.9680160501774844,1.548988941808847,3.462492087974336
56,1.444396347253391,3.179630895359977,1.6036302665775868,3.693302041503919
57,1.3962091762099227,2.9775749497106445,1.5073741106679073,3.2983433247221314
58,1.3510629602827047,2.765384137683248,1.4985716345313265,3.2620620350646026
59,1.3952336091796895,2.9847939792402367,1.5655864358718612,3.5218467045003266
60,1.436337652732222,3.1536199821335447,1.6051789507392291,3.6886528021940665
61,1.4399646359935367,3.1560365845346325,1.5435292772843816,3.427854486373556
62,1.3863002806380273,2.942120213559178,1.489705144733928,3.2218050505191576
63,1.3647751357073068,2.845599510268405,1.5421944269454595,3.4173729844656466
64,1.3871186531907977,2.925711498956573,1.5282520954378735,3.362076594524838
65,1.4268333879347284,3.1135551417690803,1.5958451190626908,3.6360241843320296
66,1.404910851536601,3.02055944602001,1.4925997052299402,3.224235917454734
67,1.3521955689182599,2.7982779250033696,1.5140143514339073,3.3028842502548033
68,1.375785035959634,2.898325927372985,1.5304073233754336,3.363216879969563
69,1.396065000476824,2.9911268835152636,1.5310901023558545,3.364755454379146
70,1.3924409800517656,2.962856547703607,1.5386283069636109,3.392727950688363
71,1.3703639831020826,2.8297713173787344,1.5395929865434148,3.3952393601503976
72,1.3969668381821398,2.972150591835156,1.5368178046486978,3.3834522211168454
73,1.3804040545219005,2.911238197219309,1.5602670098466918,3.4713799835858636
74,1.4160545756602378,3.0560579044543594,1.5403152240265738,3.3923184444857264
75,1.3772473594452177,2.8871483724348774,1.4990224564216739,3.2329473977743564
76,1.374209679729708,2.8754131088312227,1.5522231781734703,3.4354728072593095
77,1.4011441620447538,2.992296575604785,1.5300928008948145,3.3507924155641073
78,1.38863224705456,2.9412482900440113,1.5454874870476283,3.40741441317234
79,1.3643826999476416,2.8111545142127206,1.5304469097258155,3.349240962472296
80,1.3858341328212733,2.9071408320303465,1.5725361301321683,3.509659109219054
81,1.3874291913927606,2.933095720871185,1.5552172075917523,3.4391121215890403
82,1.3884502490351196,2.913666817892496,1.52928526875694,3.3405970875723177
83,1.3882229022418278,2.915135093992698,1.5163713816942974,3.2911721488681462
84,1.4407552392786587,3.1486395504538307,1.5847112610650473,3.5580953712654555
85,1.4483357847044882,3.158094343828467,1.6025660725537656,3.6308770876917897
86,1.4008591616648738,2.9642900825818703,1.4914080131540728,3.194673137330611
87,1.3723105667355922,2.847676223421511,1.529377249953689,3.3382289401362764
88,1.3930944639331004,2.928310305428236,1.4859980191669202,3.1741708556900643
89,1.3279412270105981,2.666557333584627,1.475166124085027,3.1356113728994104
90,1.3670551624470952,2.8213734127085033,1.5782775840827759,3.5206015620656723
91,1.3670535024221784,2.811699452203898,1.4671725158037945,3.1078179365418976
92,1.3504679125693986,2.758737842756356,1.5387079649119906,3.3675197176580696
93,1.454581114389765,3.191885255198945,1.5854071979867612,3.546047143679801
94,1.3625954694063505,2.819780114170857,1.4819549963753755,3.1573700639116233
95,1.430603835093358,3.086043717664816,1.6073276167620139,3.6322328357851097
96,1.382295266800698,2.8756471542398003,1.4605987708382875,3.0803226817409457
97,1.3613989472214272,2.8009522561683315,1.4933499704896138,3.196455789936669
98,1.3337235222909112,2.6914464113055594,1.500614553496763,3.223198336524776
99,1.3583674423516574,2.7825971089381305,1.4751636293283006,3.1317737922983455
